Year,AZ__PDSI,CA__PDSI,CO__PDSI,KS__PDSI,NV__PDSI,NM__PDSI,TX__PDSI,UT__PDSI,AZ__T,CA__T,CO__T,KS__T,NV__T,NM__T,TX__T,UT__T,AZ__dT,CA__dT,CO__dT,KS__dT,NV__dT,NM__dT,TX__dT,UT__dT,AZ__P,CA__P,CO__P,KS__P,NV__P,NM__P,TX__P,UT__P,AZ__dP,CA__dP,CO__dP,KS__dP,NV__dP,NM__dP,TX__dP,UT__dP
794,-1.316,-1.637,-0.885,-0.8625,-0.714,-1.784,1.16734,-0.259,15.00161,14.89884,7.12102,12.30596,9.64573,11.35331,17.32865,8.86848,-0.55225,-0.74687,-0.69309,-0.11385,-0.67433,-0.24071,0.57163,-0.8801,290.56683,312.36105,313.18716,511.90021,207.21385,270.19403,733.75769,194.63289,-4.59929,184.73288,50.96721,145.29292,36.4164,47.0128,-65.77107,105.05673
795,-1.858,-0.6,-1.838,-2.9039,-1.228,-2.29,-2.60527,-0.7,15.57415,15.2777,7.53165,13.17406,10.23146,11.81618,18.49828,9.17199,-0.35492,-0.35902,-0.20953,0.01489,-0.43451,-0.212,-0.10631,-0.2366,287.74487,393.87561,313.43475,496.16156,178.94426,320.29343,569.38715,235.80739,38.7447,203.57581,95.53528,189.25554,75.53999,7.62916,90.32785,74.70949
796,-1.943,-0.033,-1.041,-2.41803,-2.105,-1.729,-1.8712,-2.018,15.34992,14.96911,7.4435,12.7582,9.98848,11.85761,18.25538,9.18185,-0.42527,-0.44254,-0.44429,-0.0836,-0.72187,-0.18459,0.19664,-0.64162,248.23311,413.84039,319.85754,482.71075,152.61317,273.14255,627.64465,226.95801,120.96871,185.33754,88.08337,171.22928,99.86471,46.55331,1.19569,90.53558
797,-3.723,-3.12,-2.872,0.24857,-4.462,-2.993,-1.02851,-3.817,16.32498,15.37081,7.57769,11.83323,10.12467,12.67583,18.52376,9.20366,-1.04098,-0.65968,-0.45986,0.383,-0.86042,-1.12282,-0.46164,-0.80799,182.92125,557.56952,303.85043,647.43048,191.5728,256.00864,614.72711,204.77927,133.25638,-184.98634,90.7567,61.12606,-2.94862,117.63043,132.37158,92.96368
798,-1.301,-0.472,-0.581,-1.0138,-2.954,0.002,0.73889,-2.706,15.15508,14.91912,7.10455,12.14405,9.70089,11.49135,17.49358,8.95572,-0.5751,-0.70284,-0.49061,0.19213,-0.6915,-0.14526,0.66766,-0.75965,281.9198,369.26569,309.08414,479.47641,180.93959,276.17899,698.88739,206.55606,67.21585,144.36288,109.61207,231.26006,76.45458,63.30009,-32.6339,123.27536
799,-2.641,-3.817,-0.318,-1.86079,-3.702,-0.533,-1.57444,-2.797,15.87255,15.52714,7.40825,12.07429,10.24827,11.87699,17.86051,9.26194,0.13236,0.00423,0.44122,-0.14886,0.43319,0.11496,-0.10222,0.50188,317.44232,371.04666,384.62442,718.83484,147.61255,316.64124,735.31268,236.27975,9.59353,251.06625,-31.8147,64.17514,45.48614,80.19102,26.00728,-23.92078
800,-0.15,-0.325,0.709,-1.66118,-0.148,0.673,-0.84443,0.337,15.23842,14.73422,6.73554,11.94979,9.25054,11.51987,17.8373,8.3787,0.2293,-0.26504,0.2647,-0.08697,0.08558,0.33652,0.38723,0.2657,265.40268,540.04706,397.276,629.15991,207.09116,286.17807,618.73181,256.07367,93.78568,227.7235,94.10683,140.91908,69.59309,176.23825,172.0218,83.16867
801,0.688,-0.658,2.171,-1.05902,0.935,1.718,1.37435,2.025,15.34141,15.11057,6.86648,11.96015,9.51539,11.52093,17.93006,8.5862,0.39973,-0.09341,0.23515,-0.02219,0.24801,0.54423,0.46456,0.4967,352.27032,430.33301,442.89685,746.13776,203.94498,417.42322,853.66492,327.05124,-82.0793,215.60486,-41.27261,-24.01904,24.67856,-97.49141,-269.43137,-30.35223
802,0.154,-0.312,1.385,-1.66118,1.039,0.732,-0.84443,1.571,15.23842,14.73422,6.73554,11.94979,9.25054,11.51987,17.8373,8.3787,0.2293,-0.26504,0.2647,-0.08697,0.08558,0.33652,0.38723,0.2657,265.40268,540.04706,397.276,629.15991,207.09116,286.17807,618.73181,256.07367,93.78568,227.7235,94.10683,140.91908,69.59309,176.23825,172.0218,83.16867
803,-0.519,-0.681,-0.077,-0.34128,0.604,-0.184,-1.49853,1.526,14.56069,14.77343,6.32994,11.50293,8.85835,11.34269,18.14208,7.88433,0.29424,-0.6254,0.29313,0.25288,-0.02314,0.46552,0.50218,0.21477,291.83847,440.38525,358.55246,513.69904,188.10753,225.09886,439.95038,251.51755,85.35743,387.98337,100.64374,117.84755,58.88807,154.16872,177.25763,82.14551
804,0.645,-1.851,2.733,1.00635,-1.822,3.14,2.16445,-1.007,15.95316,15.26589,6.4211,11.74223,8.2886,11.5247,17.98203,8.02122,0.11511,-0.02686,0.45523,0.46957,0.28331,0.2011,0.41201,0.19473,271.23532,292.41766,374.18893,763.98755,173.65405,310.72153,662.06793,216.86086,15.7504,164.93317,73.43269,-129.29739,52.1888,36.98544,-17.45089,72.32776
805,0.104,-0.285,0.743,-0.27416,-0.165,0.141,-0.28893,0.957,14.84285,14.83094,6.62738,11.87789,9.2484,11.4111,17.96389,8.32188,0.30812,-0.4178,0.24402,-0.06336,0.05642,0.43924,0.4553,0.2583,274.59821,510.09369,370.03458,565.44788,208.77048,246.37851,525.36938,263.26904,74.25245,278.29041,101.48987,139.4783,57.87486,159.9453,168.53175,70.84023
806,-0.444,0.078,-1.134,-1.14254,-1.194,-0.605,0.27239,-0.741,15.31645,14.93719,7.08526,11.98947,9.76019,11.62788,17.6507,9.05165,-0.59824,-0.65704,-0.28872,0.49417,-0.70047,-0.05905,0.75268,-0.64276,274.73514,426.89508,305.12057,449.94714,155.8076,284.80975,669.42444,218.65327,134.1021,106.34022,166.61554,322.08655,115.26118,75.15211,-0.66284,141.42816
807,-2.138,-2.052,-1.755,-3.01045,-0.955,-2.269,-2.76611,-0.261,15.47321,15.02378,7.80063,13.4506,10.13744,12.16002,18.92988,9.30219,-0.38572,-0.37034,-0.64056,-0.59439,-0.75448,-0.2794,-0.18871,-0.69762,228.17705,393.2641,323.43152,500.33597,152.77426,244.41939,563.03766,236.33418,102.25279,327.10245,58.029,48.20955,86.41301,41.5581,0.26957,61.57847
808,-0.147,3.599,-0.402,-1.72464,-0.389,-0.907,-1.28641,-0.449,14.865,14.30893,7.15318,12.71734,8.86185,11.6856,18.78765,8.32128,1.46378,1.18527,1.4746,0.87686,1.76993,1.18977,0.46479,1.77423,334.07202,586.41309,382.85928,616.29694,204.19026,336.09451,689.77258,249.00046,-73.54416,-130.46428,-85.21526,-127.66901,-41.33704,-97.75016,-190.81712,-23.84225
809,-5.976,-4.33,-7.511,0.25277,-8.918,-6.327,-1.24242,-8.572,16.3606,15.82405,9.04699,13.76593,11.68539,12.95371,19.25746,10.40742,-1.42127,-1.60944,-1.30769,-0.31275,-2.08252,-1.20558,-0.03384,-2.09207,234.88255,438.97348,263.12808,514.11133,175.83717,236.56866,574.06726,194.927,52.08948,-5.72774,99.90978,64.95269,-13.24309,78.02271,42.25304,51.6041
810,-5.04,-5.985,-1.03,-1.34996,-5.982,-1.883,2.15229,-4.433,16.65188,15.50974,7.95721,12.78208,10.24991,12.51952,18.42316,9.65588,-0.17503,0.13996,0.19345,0.23329,0.20264,-0.03098,0.22824,0.40723,182.0482,455.40509,259.50275,569.52954,139.89774,296.14865,784.49481,192.10069,86.55058,78.58813,102.43774,118.05961,42.4769,-16.71545,-66.83009,61.01561
811,-3.121,-3.138,-1.083,-1.1626,-2.545,-1.602,-1.05314,-1.846,15.66019,15.26139,7.20563,12.14709,10.00864,11.83198,18.11724,9.09507,0.20791,-0.2913,0.53462,0.86037,0.16673,0.27702,0.26697,0.45734,276.7673,356.66364,389.19672,725.77368,159.95778,292.73416,622.33673,269.62082,24.79511,43.37423,3.28279,26.18124,46.30827,45.37847,211.64867,4.37422
812,-0.086,2.076,0.179,-1.99339,1.219,-0.833,-1.53435,1.629,14.81328,14.27613,6.97261,12.50728,8.78885,11.54802,18.56439,8.22062,1.19967,1.06552,1.10991,0.53719,1.77431,0.95961,0.33313,1.53178,323.24579,582.93616,394.64157,760.52246,204.2513,331.36197,775.8252,273.21182,-40.47651,-65.80875,-44.41628,-208.56993,-3.45042,-55.67486,-216.65668,-13.4531
813,-0.356,1.072,1.066,-0.24123,0.057,-0.365,-0.81513,0.338,14.72347,14.81199,6.52332,11.73451,9.09738,11.37271,18.03082,8.16212,0.35898,-0.47813,0.26417,0.04105,0.06249,0.48207,0.47846,0.26765,284.6655,485.66052,360.6011,533.5304,202.95026,235.18951,486.87393,261.97354,67.32035,309.30603,99.65459,129.77208,52.06297,145.65524,162.42055,64.5572
814,-2.45,-0.545,-2.608,-3.20899,-1.47,-3.081,-2.61133,-1.418,15.51809,15.20011,7.61583,13.50721,10.36445,11.82067,18.74024,9.03675,-0.23373,-0.46287,-0.12104,0.08672,-0.39984,-0.04736,0.02779,-0.08877,310.80524,376.66483,276.61496,486.94162,197.79526,314.13477,559.11041,240.36459,-6.72144,278.85852,165.85251,193.27194,66.00713,17.86706,73.09264,84.36976
815,-2.005,-0.31,0.933,-0.75255,-0.304,-0.997,-0.21321,0.102,15.07141,14.80181,6.70372,12.20935,9.62747,11.66091,18.19798,8.74072,-0.31142,-0.20043,-0.31026,-0.05225,-0.27993,-0.46165,-0.21825,-0.52555,278.24161,474.12891,316.27393,584.99054,176.69814,326.00458,707.06342,222.30667,14.56915,226.56795,88.77914,292.88568,53.28737,-24.71682,82.54012,81.46335
816,-2.024,0.717,-0.143,-0.52769,0.138,-2.106,-0.43456,0.516,14.97926,14.55621,6.7691,12.36352,9.53278,11.59534,18.27597,8.74775,-0.06814,0.22396,-0.11627,-0.03514,0.03226,-0.3402,-0.4221,-0.23294,278.91324,469.36398,323.82489,631.32794,198.17303,335.7236,738.0249,242.0247,-10.51795,170.19875,58.56622,176.58446,35.06327,-59.84463,0.048,48.84095
817,-3.081,-1.661,-3.637,-0.22912,-4.043,-3.316,-2.03159,-3.945,16.29025,15.29146,7.64081,12.06687,10.07163,12.62181,18.54534,9.25868,-0.9668,-0.45866,-0.45748,0.31115,-0.67445,-1.02876,-0.40032,-0.72824,188.93053,522.26038,302.28049,620.18921,185.20084,250.662,587.40857,202.48279,118.50944,-133.49767,80.0548,37.44107,2.3174,110.21398,107.45505,80.1768
818,-4.415,-3.151,-4.992,-1.4651,-2.765,-5.032,-2.67396,-2.216,16.08844,15.04053,8.69843,13.93248,10.30876,12.84009,19.35578,9.75557,-0.92155,-0.26896,-0.96241,-0.56662,-0.39311,-0.7924,-0.47049,-0.70294,265.13531,520.86804,283.04953,474.58981,160.48233,248.48544,437.56747,228.64439,-51.63766,-95.20359,59.76088,49.49229,-8.6759,-7.70322,143.54439,9.96839
819,-4.842,-4.446,-6.208,0.25277,-7.115,-4.092,-1.24242,-6.756,16.3606,15.82405,9.04699,13.76593,11.68539,12.95371,19.25746,10.40742,-1.42127,-1.60944,-1.30769,-0.31275,-2.08252,-1.20558,-0.03384,-2.09207,234.88255,438.97348,263.12808,514.11133,175.83717,236.56866,574.06726,194.927,52.08948,-5.72774,99.90978,64.95269,-13.24309,78.02271,42.25304,51.6041
820,-0.469,-1.321,-0.384,-0.94915,-0.915,0.166,1.70785,0.007,15.0126,14.93466,6.97772,12.0772,9.63884,11.40659,17.44596,8.78669,-0.55394,-0.68566,-0.49549,0.18606,-0.62905,-0.186,0.63533,-0.72509,277.46744,342.19949,316.14484,513.79327,188.58365,268.90665,695.9364,203.82239,41.76923,134.56613,86.39539,180.05199,56.58112,69.2289,5.37376,104.99467
821,2.609,1.749,3.224,-0.99816,2.293,3.524,1.98731,2.843,15.68267,15.56671,6.9321,11.84577,9.26331,11.823,17.85749,8.93384,0.58109,0.17081,0.51849,0.1537,0.35612,0.62504,0.75484,0.45643,477.77386,512.46753,443.51266,747.59119,215.0336,441.14584,913.47504,307.93497,-247.75203,128.8708,-61.61813,-35.64869,35.27667,-146.84961,-272.11853,-57.2702
822,1.982,3.577,1.647,0.74299,2.403,1.136,0.7515,2.465,14.56152,14.33117,6.56894,12.32412,9.05219,11.32585,18.25597,7.97574,0.72765,0.70485,0.79402,0.65185,1.20809,0.64591,0.51051,1.22553,288.98804,555.00824,361.35071,701.79572,223.92696,291.06577,736.58698,291.07007,38.21944,-5.35913,9.79258,-94.84306,-32.84986,77.79253,-43.54525,-33.23681
823,-2.884,-1.38,-1.625,-3.03499,-0.281,-3.804,-2.46928,0.454,16.12446,15.36343,7.67671,12.93197,9.76848,12.46624,19.00891,9.54435,-1.13397,-0.72009,-0.91042,-0.51927,-0.65212,-0.57896,-0.02714,-1.05551,254.03305,400.05981,320.28391,480.12323,161.38223,232.99437,506.67044,234.50246,58.96655,524.38342,159.60927,235.36565,84.52474,60.0961,45.47017,136.31409
824,-3.445,-1.833,-2.35,-3.03499,-1.152,-3.865,-2.46928,-0.79,16.12446,15.36343,7.67671,12.93197,9.76848,12.46624,19.00891,9.54435,-1.13397,-0.72009,-0.91042,-0.51927,-0.65212,-0.57896,-0.02714,-1.05551,254.03305,400.05981,320.28391,480.12323,161.38223,232.99437,506.67044,234.50246,58.96655,524.38342,159.60927,235.36565,84.52474,60.0961,45.47017,136.31409
825,-2.659,-2.9,-1.933,-3.01045,-1.919,-2.429,-2.76611,-1,15.47321,15.02378,7.80063,13.4506,10.13744,12.16002,18.92988,9.30219,-0.38572,-0.37034,-0.64056,-0.59439,-0.75448,-0.2794,-0.18871,-0.69762,228.17705,393.2641,323.43152,500.33597,152.77426,244.41939,563.03766,236.33418,102.25279,327.10245,58.029,48.20955,86.41301,41.5581,0.26957,61.57847
826,0.68,2.395,0.568,-1.38712,3.406,-0.988,-1.14708,3.46,14.70442,14.3338,6.82978,12.41094,8.92358,11.49945,18.48706,8.05248,0.86637,0.84375,0.97673,0.73922,1.58141,0.70898,0.44234,1.34415,307.37952,569.92316,376.02237,750.36859,210.01469,302.09583,772.9353,286.57217,22.82592,8.97781,10.41031,-161.81133,-0.03025,32.71513,-163.53,-7.15502
827,0.786,1.49,2.899,2.821,2.417,0.934,-0.45014,2.313,14.52599,14.49011,6.24435,12.04413,9.22744,10.97204,17.80147,8.08999,0.76992,0.23609,0.66264,0.11959,0.34753,0.85888,0.43877,0.96832,277.72443,611.69305,387.70245,846.07556,225.84314,304.80704,773.2019,292.37378,42.93464,-130.42496,-25.9725,-202.60312,-37.44821,87.13953,-57.66034,-36.24063
828,0.236,1.194,1.839,2.5744,2.514,0.67,0.81646,2.918,14.52153,14.34501,6.37576,12.17166,9.15114,11.06642,17.88132,7.99441,0.76744,0.50134,0.62085,0.22927,0.74398,0.76374,0.42007,1.10771,272.53149,554.72351,364.17889,755.53357,230.08604,303.18564,746.7724,292.09915,37.6968,-73.45142,-25.35047,-124.7991,-47.89363,75.62006,-17.48153,-51.86429
829,-3.176,-0.896,-4.36,-2.34861,-1.505,-4.097,-2.96696,-1.315,16.16729,15.24559,7.67416,12.82759,9.56534,12.55442,19.0604,9.59823,-1.32729,-0.64999,-1.02319,-0.7174,-0.73401,-0.73831,-0.14935,-1.3307,213.10646,411.38968,324.24884,450.47269,150.97336,195.46579,454.03369,215.67651,95.02102,487.02945,127.75051,242.63518,83.715,82.38182,83.29889,136.27397
830,-2.925,-2.667,-3.787,-0.99114,-3.778,-2.368,-0.26748,-3.218,16.53635,15.33973,7.43581,11.79201,9.90447,12.46121,18.08796,9.34208,-0.71936,0.20371,-0.16081,0.76156,0.02506,-0.86601,-0.07126,-0.2523,190.83893,407.83487,310.84091,651.38074,175.56601,261.68484,623.06708,190.58791,130.79794,-18.42906,55.27769,-104.01766,11.45021,128.25032,-44.67865,61.10103
831,1.569,0.59,-0.548,-0.3692,0.766,1.087,-2.67168,1.36,14.33362,14.57448,5.95633,11.35106,8.91161,10.88146,17.857,8.0987,0.87931,0.01021,0.90276,1.25849,-0.14969,0.94864,0.66548,0.43977,333.84143,631.99323,451.55643,803.4101,198.58446,346.00665,687.92938,275.323,35.74012,73.89326,-8.25412,-218.94235,18.3278,56.67866,49.96975,2.6482
832,0.435,-0.041,-0.284,-0.06621,0.701,-0.16,-1.3037,1.237,14.62917,14.79603,6.4167,11.60802,8.96759,11.35429,18.09238,8.01448,0.32907,-0.5637,0.27834,0.14734,0.01393,0.4786,0.49395,0.2388,288.72028,461.41202,358.99615,520.98096,195.30455,228.26694,458.32538,256.66296,75.90861,352.32187,100.62128,123.53101,55.41344,149.95946,170.98123,73.71143
833,0.158,1.198,-0.629,-1.10336,1.11,-0.95,-1.10633,1.557,14.96568,14.63276,6.90829,11.80674,9.32257,11.58088,18.25439,8.11415,0.51849,0.34295,0.53244,0.80039,0.70091,0.23001,0.02045,0.6204,303.03067,567.86438,341.83942,503.35052,182.47166,296.22919,559.24207,291.86191,47.51598,82.60402,53.36676,-4.04695,39.03959,32.0984,103.56477,47.85107
834,1.78,3.394,2.472,-1.35238,3.379,0.686,1.24336,3.831,15.45362,15.07182,7.07179,12.2983,9.5086,11.81298,18.11596,8.90126,-0.06141,0.04127,0.00194,0.19454,-0.06193,0.01901,0.3176,-0.01211,407.4996,579.67609,469.34509,725.39905,237.72525,417.72784,841.36938,333.01273,-167.06081,0.2005,-106.88491,-114.27316,-6.69426,-147.21486,-218.5997,-80.75498
835,0.199,0.723,0.192,-0.06621,1.206,-0.104,-1.3037,1.737,14.62917,14.79603,6.4167,11.60802,8.96759,11.35429,18.09238,8.01448,0.32907,-0.5637,0.27834,0.14734,0.01393,0.4786,0.49395,0.2388,288.72028,461.41202,358.99615,520.98096,195.30455,228.26694,458.32538,256.66296,75.90861,352.32187,100.62128,123.53101,55.41344,149.95946,170.98123,73.71143
836,-1.283,0.235,-1.941,-1.53941,-0.994,-1.308,-0.86737,-0.81,15.35793,14.94077,7.09529,12.11075,9.82127,11.69152,17.79179,9.09992,-0.58383,-0.56816,-0.31079,0.38554,-0.66828,-0.15536,0.55744,-0.65328,272.52942,444.15652,305.61273,467.15808,154.44542,296.79703,679.49231,220.06755,122.95051,120.24265,157.54028,334.81073,112.0787,52.28596,10.54674,133.66632
837,-3.696,-1.509,-3.712,-3.36804,-2.294,-4.355,-4.55797,-2.151,15.60376,14.68151,7.89583,13.49733,9.83458,12.28378,19.12715,9.26491,-0.77997,-0.19598,-0.61708,-0.69037,-0.67971,-0.5676,-0.40191,-0.98036,178.58255,435.87564,277.46918,400.01971,160.48134,180.93881,393.79385,184.9893,88.32785,103.77907,57.57732,143.33855,47.4782,81.49763,167.12453,60.01384
838,-1.408,-0.078,-1.477,-0.52769,-0.254,-1.483,-0.43456,0.376,14.97926,14.55621,6.7691,12.36352,9.53278,11.59534,18.27597,8.74775,-0.06814,0.22396,-0.11627,-0.03514,0.03226,-0.3402,-0.4221,-0.23294,278.91324,469.36398,323.82489,631.32794,198.17303,335.7236,738.0249,242.0247,-10.51795,170.19875,58.56622,176.58446,35.06327,-59.84463,0.048,48.84095
839,-1.501,-1.796,-1.876,-1.86079,-3.261,-0.926,-1.57444,-3.158,15.87255,15.52714,7.40825,12.07429,10.24827,11.87699,17.86051,9.26194,0.13236,0.00423,0.44122,-0.14886,0.43319,0.11496,-0.10222,0.50188,317.44232,371.04666,384.62442,718.83484,147.61255,316.64124,735.31268,236.27975,9.59353,251.06625,-31.8147,64.17514,45.48614,80.19102,26.00728,-23.92078
840,-0.217,2.137,-1.596,-0.73899,0.712,-1.772,-1.37369,1.484,14.74762,14.38168,7.14171,12.64861,8.94588,11.6032,18.65061,8.09948,1.44245,0.76456,1.67334,1.29946,1.44552,1.29005,0.67422,1.75208,289.39417,562.69946,335.96188,557.75739,218.65944,280.04926,581.07281,247.66064,1.14261,-25.86376,-42.64142,-66.64671,-52.10216,-13.15725,-118.43081,-0.90011
841,-2.214,-3.471,0.035,-2.73888,-4.291,0.26,-1.6997,-3.768,16.09708,15.51757,7.54693,12.20388,10.30204,11.99709,17.96333,9.47854,0.02492,-0.01693,0.38147,0.15248,0.23494,0.12755,0.21943,0.26229,303.51208,362.62021,385.496,743.87628,151.92818,320.49554,779.58118,234.04393,6.36327,243.77338,-21.41339,-15.09987,49.713,75.99039,-71.42288,2.87848
842,-0.494,-1.571,1.889,1.00635,-1.474,2.682,2.16445,-0.459,15.95316,15.26589,6.4211,11.74223,8.2886,11.5247,17.98203,8.02122,0.11511,-0.02686,0.45523,0.46957,0.28331,0.2011,0.41201,0.19473,271.23532,292.41766,374.18893,763.98755,173.65405,310.72153,662.06793,216.86086,15.7504,164.93317,73.43269,-129.29739,52.1888,36.98544,-17.45089,72.32776
843,2.617,1.843,6.365,-1.2118,0.694,5.095,0.17796,1.753,15.5825,15.62652,6.66921,11.66754,9.0105,11.74726,17.7708,8.69306,0.54694,0.09723,0.53334,0.06405,0.33424,0.54305,0.71977,0.49215,498.88638,489.4491,443.05249,742.48267,210.34758,441.22525,870.50201,304.59647,-242.61528,244.8029,-40.20468,-4.44895,72.06652,-119.51804,-215.94661,-27.3661
844,0.126,-0.384,2.663,-2.34033,0.625,0.307,-1.53031,2.059,15.88727,14.56182,6.60579,11.67408,8.61369,11.63032,17.76336,8.00381,0.6724,-0.16354,0.56936,0.22087,0.17624,0.45709,0.42639,0.36452,279.60684,514.62408,437.31363,661.89441,194.04337,337.0545,691.6272,238.89998,83.13084,221.25148,10.26221,111.88023,63.16689,99.50259,108.07111,42.67561
845,1.059,-0.064,6.519,-1.45425,-0.687,2.391,-1.11373,0.238,15.48997,15.45184,6.62589,12.09691,9.18924,11.6294,18.18385,8.31746,0.24067,-0.1298,0.48766,-0.30884,0.4553,0.30802,-0.16782,0.91018,406.66559,448.90579,439.8266,738.65192,232.68163,409.51563,725.76111,328.436,-16.99842,447.19656,-10.00628,-59.11764,101.3905,-70.7783,-77.50481,42.65333
846,-0.483,2.515,-2.063,-0.35683,-0.146,-2.855,-1.4685,-0.406,14.67485,14.37102,7.05986,12.68305,8.90623,11.53196,18.6057,8.04324,1.43936,0.63401,1.72494,1.27126,1.3377,1.30455,0.68534,1.71857,281.06375,551.69489,327.23407,554.91974,221.01575,265.8345,563.43445,247.49205,9.93002,0.40532,-32.88243,-60.6503,-43.24697,3.40549,-111.55438,1.81188
847,-5.225,-3.132,-3.764,0.17517,-5.909,-4.952,-1.40583,-5.769,16.32594,15.69433,8.91175,13.6386,11.39604,12.94709,19.24039,10.22865,-1.35366,-1.40171,-1.22868,-0.3037,-1.7977,-1.17609,-0.1555,-1.83215,237.56369,470.31839,269.69717,523.00916,176.37979,241.39651,558.24304,202.59938,40.17054,-49.1338,95.14091,65.60942,-14.9152,67.52797,71.99841,49.36583
848,-1.927,-2.458,-1.101,-0.94649,-2.22,-0.44,1.2539,-1.145,14.97825,14.89823,7.12392,12.34497,9.64105,11.32661,17.29435,8.85007,-0.52912,-0.75548,-0.69744,-0.1376,-0.64969,-0.24075,0.56244,-0.87191,291.33334,296.92163,318.20581,526.03204,212.55632,268.65369,739.2951,195.5593,-21.56326,191.50897,32.97139,120.16005,27.61046,42.83871,-64.89551,97.00886
849,-1.651,1.048,-0.203,-2.41803,-1.141,-1.323,-1.8712,-0.825,15.34992,14.96911,7.4435,12.7582,9.98848,11.85761,18.25538,9.18185,-0.42527,-0.44254,-0.44429,-0.0836,-0.72187,-0.18459,0.19664,-0.64162,248.23311,413.84039,319.85754,482.71075,152.61317,273.14255,627.64465,226.95801,120.96871,185.33754,88.08337,171.22928,99.86471,46.55331,1.19569,90.53558
850,-2.604,-1.208,-0.717,-2.83174,-0.968,-2.505,-2.5679,-0.302,15.33932,14.96217,7.78845,13.46188,10.18273,12.06991,18.82731,9.25666,-0.25407,-0.30001,-0.58047,-0.57389,-0.77508,-0.22704,-0.1984,-0.63645,222.76837,393.8941,327.60388,503.36716,149.64014,249.43317,580.01605,235.28159,116.20509,268.63089,32.70715,19.59967,88.41546,37.68607,-7.17404,48.23562
851,-0.838,0.166,-1.789,-0.52769,0.297,-1.179,-0.43456,0.853,14.97926,14.55621,6.7691,12.36352,9.53278,11.59534,18.27597,8.74775,-0.06814,0.22396,-0.11627,-0.03514,0.03226,-0.3402,-0.4221,-0.23294,278.91324,469.36398,323.82489,631.32794,198.17303,335.7236,738.0249,242.0247,-10.51795,170.19875,58.56622,176.58446,35.06327,-59.84463,0.048,48.84095
852,-0.145,0.072,-0.424,-0.78563,-2.304,1.346,1.40224,-1.729,15.13074,14.96519,6.89988,11.84168,9.67415,11.54069,17.63605,8.81704,-0.58671,-0.61921,-0.27801,0.52762,-0.63798,-0.10629,0.72231,-0.58525,265.36725,404.04816,310.68088,483.50937,159.36723,273.22241,652.13495,214.50247,121.18292,80.83328,153.43019,268.97021,97.50814,93.05205,58.8949,122.2925
853,-2.703,-2.392,-0.816,-1.1626,-2.489,-0.479,-1.05314,-1.158,15.66019,15.26139,7.20563,12.14709,10.00864,11.83198,18.11724,9.09507,0.20791,-0.2913,0.53462,0.86037,0.16673,0.27702,0.26697,0.45734,276.7673,356.66364,389.19672,725.77368,159.95778,292.73416,622.33673,269.62082,24.79511,43.37423,3.28279,26.18124,46.30827,45.37847,211.64867,4.37422
854,-0.055,-1.397,3.181,-1.05902,1.226,2.339,1.37435,3.194,15.34141,15.11057,6.86648,11.96015,9.51539,11.52093,17.93006,8.5862,0.39973,-0.09341,0.23515,-0.02219,0.24801,0.54423,0.46456,0.4967,352.27032,430.33301,442.89685,746.13776,203.94498,417.42322,853.66492,327.05124,-82.0793,215.60486,-41.27261,-24.01904,24.67856,-97.49141,-269.43137,-30.35223
855,0.655,1.146,0.897,2.821,1.386,0.338,-0.45014,2.136,14.52599,14.49011,6.24435,12.04413,9.22744,10.97204,17.80147,8.08999,0.76992,0.23609,0.66264,0.11959,0.34753,0.85888,0.43877,0.96832,277.72443,611.69305,387.70245,846.07556,225.84314,304.80704,773.2019,292.37378,42.93464,-130.42496,-25.9725,-202.60312,-37.44821,87.13953,-57.66034,-36.24063
856,-0.663,-0.503,-0.006,-1.0138,-1.712,-0.289,0.73889,-1.186,15.15508,14.91912,7.10455,12.14405,9.70089,11.49135,17.49358,8.95572,-0.5751,-0.70284,-0.49061,0.19213,-0.6915,-0.14526,0.66766,-0.75965,281.9198,369.26569,309.08414,479.47641,180.93959,276.17899,698.88739,206.55606,67.21585,144.36288,109.61207,231.26006,76.45458,63.30009,-32.6339,123.27536
857,-3.012,-2.178,-3.122,-2.9353,-2.092,-2.774,-2.56553,-1.194,16.02348,15.29689,7.72012,12.98539,9.78723,12.46601,19.00675,9.55702,-1.04557,-0.64139,-0.94642,-0.63443,-0.71918,-0.57756,-0.09925,-1.09198,236.4948,402.20563,330.90665,485.96014,152.15573,225.78722,515.57037,234.08704,84.82288,493.69061,121.50542,183.35298,88.41496,59.39323,30.33284,119.92751
858,1.382,1.87,3.439,-1.35238,3.5,2.161,1.24336,4.828,15.45362,15.07182,7.07179,12.2983,9.5086,11.81298,18.11596,8.90126,-0.06141,0.04127,0.00194,0.19454,-0.06193,0.01901,0.3176,-0.01211,407.4996,579.67609,469.34509,725.39905,237.72525,417.72784,841.36938,333.01273,-167.06081,0.2005,-106.88491,-114.27316,-6.69426,-147.21486,-218.5997,-80.75498
859,0.707,1.85,-2.219,-1.39636,2.946,-0.783,-1.29096,4.093,14.79913,14.34333,6.95855,12.31667,9.05026,11.50291,18.39817,8.08471,0.88598,0.87083,0.93818,0.82719,1.47472,0.64807,0.29213,1.25701,309.88818,557.42859,366.06528,688.28223,200.96785,322.6369,743.79449,285.14987,22.396,0.67216,-4.72272,-129.63654,5.53211,1.8962,-131.93311,-7.3575
