Year,AZ__PDSI,CA__PDSI,CO__PDSI,KS__PDSI,NV__PDSI,NM__PDSI,TX__PDSI,UT__PDSI,AZ__T,CA__T,CO__T,KS__T,NV__T,NM__T,TX__T,UT__T,AZ__dT,CA__dT,CO__dT,KS__dT,NV__dT,NM__dT,TX__dT,UT__dT,AZ__P,CA__P,CO__P,KS__P,NV__P,NM__P,TX__P,UT__P,AZ__dP,CA__dP,CO__dP,KS__dP,NV__dP,NM__dP,TX__dP,UT__dP
30,-2.724,0.236,-1.827,-1.56974,-2.806,-2.141,-1.80256,-2.404,15.95408,15.19288,7.71523,12.89602,9.8304,12.4205,18.83525,9.51166,-0.84077,-0.36171,-0.81658,-0.52069,-0.63397,-0.58583,-0.16047,-0.94975,209.40953,397.202,336.38098,514.19568,146.24774,223.29085,540.25934,224.24524,119.42612,371.53827,65.34917,71.16309,80.09618,70.06647,-2.18266,87.93623
31,-0.907,-2.436,0.062,1.52463,-1.35,-0.328,3.29757,-0.608,14.75328,15.02579,6.29115,11.30751,9.50063,11.49761,17.94046,8.11733,-0.55323,-0.29728,0.10689,0.95108,-0.34127,-0.21455,0.53146,-0.13698,213.59731,431.63095,348.23947,615.94202,140.38173,261.76688,573.51056,220.4726,186.80399,-6.16717,165.09419,173.55109,96.76826,196.44791,330.03851,94.65512
32,-0.854,0.794,-3.071,-0.60831,1.634,-2.334,-1.2461,2.258,14.78876,14.42083,6.9768,12.47442,9.08879,11.49704,18.4256,8.11308,1.09563,0.57585,1.29507,0.96565,1.09928,0.81866,0.28168,1.27846,286.85284,572.62347,329.4689,553.25909,206.95181,281.23752,587.08124,273.7814,13.38977,-4.84518,1.34498,-66.36396,5.46908,1.5222,-44.32043,14.49246
33,-1.424,1.338,-2.836,-0.72073,0.291,-2.443,-1.93551,0.282,15.29595,14.92999,6.98079,12.43157,9.6897,11.56462,18.2117,8.92164,-0.18924,0.19153,-0.01659,0.16114,0.09048,-0.30098,-0.44935,-0.01524,299.12399,426.07486,343.86627,592.86993,203.4348,358.53894,649.93512,250.425,-5.33026,132.76599,45.16997,165.95,39.83928,-55.16901,61.85216,47.77565
34,-1.102,2.189,-4.1,-0.60831,2.08,-3.194,-1.2461,2.026,14.78876,14.42083,6.9768,12.47442,9.08879,11.49704,18.4256,8.11308,1.09563,0.57585,1.29507,0.96565,1.09928,0.81866,0.28168,1.27846,286.85284,572.62347,329.4689,553.25909,206.95181,281.23752,587.08124,273.7814,13.38977,-4.84518,1.34498,-66.36396,5.46908,1.5222,-44.32043,14.49246
35,2.283,3.29,3.07,-0.47722,1.113,2.474,1.65898,1.729,15.55775,15.59954,6.71388,11.60085,8.85484,11.8008,17.72485,8.75312,0.63436,0.17567,0.57121,0.22602,0.32046,0.60241,0.91637,0.40776,537.21405,504.60986,434.46811,745.73523,204.93015,444.16339,922.62982,289.95959,-312.19388,156.4362,-46.99183,-8.14925,58.98673,-138.60539,-260.98526,-46.93497
36,-1.063,2.824,-2.586,-0.60831,0.764,-1.99,-1.2461,1.296,14.78876,14.42083,6.9768,12.47442,9.08879,11.49704,18.4256,8.11308,1.09563,0.57585,1.29507,0.96565,1.09928,0.81866,0.28168,1.27846,286.85284,572.62347,329.4689,553.25909,206.95181,281.23752,587.08124,273.7814,13.38977,-4.84518,1.34498,-66.36396,5.46908,1.5222,-44.32043,14.49246
37,-2.267,-6.064,-0.817,-1.30987,-4.182,-1.29,1.59077,-4.481,16.55166,15.42578,7.69031,12.22891,10.12019,12.51563,18.30574,9.48061,-0.5371,-0.00229,-0.05127,0.49384,-0.08258,-0.52622,0.03612,-0.0956,190.00294,450.8952,293.17465,626.91748,163.65903,278.88788,700.76733,196.10759,107.00455,1.02817,78.69852,11.6666,23.26063,64.56275,-32.08393,67.97072
38,-1.15,0.864,-0.101,0.33739,-2.447,-0.471,2.66608,-1.706,14.83202,15.05291,6.41342,11.34981,9.53877,11.49803,17.84836,8.3216,-0.57032,-0.42884,-0.03572,0.89157,-0.47856,-0.16474,0.65734,-0.3053,229.15648,414.79919,322.94836,546.75146,139.3412,254.4577,574.6571,217.79724,163.40723,-19.09191,176.64709,223.69298,94.30456,150.25237,254.44231,89.54544
39,-2.388,2.129,-2.397,-0.72073,-1.461,-2.325,-1.93551,-0.791,15.29595,14.92999,6.98079,12.43157,9.6897,11.56462,18.2117,8.92164,-0.18924,0.19153,-0.01659,0.16114,0.09048,-0.30098,-0.44935,-0.01524,299.12399,426.07486,343.86627,592.86993,203.4348,358.53894,649.93512,250.425,-5.33026,132.76599,45.16997,165.95,39.83928,-55.16901,61.85216,47.77565
